,source,author,title,publishedAt,description,urlToImage,url,sentiment_score
459,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Tropical Depression Gordon continues to weaken over Mississippi: NHC,2018-09-05 21:22:01,"Tropical Depression Gordon continues to weaken over central Mississippi, the U.S. National Hurricane Center (NHC) said on Wednesday, adding that the threat of heavy rains and flooding will continue for several days.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-storm-gordon-nhc/tropical-depression-gordon-continues-to-weaken-over-mississippi-nhc-idUSKCN1LL32A,-2.0
460,"{'name': 'Reuters', 'id': 'reuters'}",Linda Carroll,Severe delivery complications on the rise among US pregnant women - Reuters,2018-09-05 21:20:00,"Severe delivery complications on the rise among US pregnant women Reuters (Reuters Health) - An increasing proportion of U.S. women are experiencing serious and potentially life-threatening complications while giving birth, government researchers report. Betw…",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://uk.reuters.com/article/us-health-childbirth-complications/severe-delivery-complications-on-the-rise-among-u-s-pregnant-women-idUKKCN1LL31J,-3.0
461,"{'name': 'Reuters', 'id': 'reuters'}",Linda Carroll,Severe delivery complications on the rise among U.S. pregnant women,2018-09-05 21:18:45,"(Reuters Health) - An increasing proportion of U.S. women are experiencing serious and potentially life-threatening complications while giving birth, government researchers report.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-health-childbirth-complications/severe-delivery-complications-on-the-rise-among-u-s-pregnant-women-idUSKCN1LL31J,-2.0
462,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Graduates of selective U.S. colleges earn 20 percent more after a decade: study,2018-09-05 21:16:59,"Students who graduate from selective U.S. colleges earn more than their peers in the long term, and majoring in a technical field adds to the premium, a study from the New York Federal Reserve released on Wednesday showed.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-usa-college-pay/graduates-of-selective-u-s-colleges-earn-20-percent-more-after-a-decade-study-idUSKCN1LL328,0.0
463,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Alimentation Couche-Tard's quarterly profit jumps nearly 25 pct,2018-09-05 21:13:48,Alimentation Couche-Tard Inc quarterly profit rose nearly 25 percent on Wednesday as the world's second-biggest convenience store operator benefited from higher fuel sales.,https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301113689&w=1200&r=LYNXNPEE84214,https://www.reuters.com/article/us-alimentation-couche-tard-results/alimentation-couche-tards-quarterly-profit-jumps-nearly-25-percent-idUSKCN1LL326,1.0
464,"{'name': 'Reuters', 'id': 'reuters'}",Amy Tennery,Pressure-free Osaka gets back to business,2018-09-05 21:12:01,"Naomi Osaka seemed to shrug off the weight of history on Wednesday, when she beat Lesia Tsurenko at the U.S. Open to become the first Japanese woman since 1996 to advance to the semi-finals of a Grand Slam.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301113421&w=1200&r=LYNXNPEE84208,https://www.reuters.com/article/us-tennis-usopen-osaka/pressure-free-osaka-gets-back-to-business-idUSKCN1LL31N,1.0
465,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Enterprise Services wins $787 mln U.S. defense contract -Pentagon,2018-09-05 21:11:58,"Enterprise Services LLC, a unit of Hewlett Packard Enterprise Co, has been awarded a U.S. defense contract with a maximum potential value of $787 million for the existing Next Generation Enterprise Network, the Pentagon said on Wednesday. (Reporting by Eric B…",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-hewlett-packard-enterprise-pentagon/enterprise-services-wins-787-million-u-s-defense-contract-pentagon-idUSKCN1LL320,3.0
466,"{'name': 'Reuters', 'id': 'reuters'}",Shihar Aneez,"Sri Lanka opposition supporters block road over economic hardship, polls",2018-09-05 21:11:06,Thousands of Sri Lankan opposition demonstrators led by former leader Mahinda Rajapaksa blocked a main road in Colombo on Wednesday in protest at economic hardship and the delaying of provincial polls.,https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301111903&w=1200&r=LYNXNPEE84206,https://in.reuters.com/article/sri-lanka-politics-protest/sri-lanka-opposition-supporters-block-road-over-economic-hardship-polls-idINKCN1LL31B,-5.0
467,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,CBS and National Amusements in talks to settle litigation: source,2018-09-05 21:02:01,"CBS Corp is in settlement talks with Shari Redstone and her family's holding company National Amusements Inc over a litigation for the control of the broadcaster, a source familiar with the matter told Reuters.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301109759&w=1200&r=LYNXNPEE841ZN-OCABS,https://ca.reuters.com/article/businessNews/idCAKCN1LL30Z-OCABS,4.0
468,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Vivendi says TIM's performance since Elliott took over 'disastrous',2018-09-05 20:57:44,"French media conglomerate Vivendi said on Wednesday the management of Telecom Italia (TIM) had been ""disastrous"" since activist fund Elliott had seized control of the Italian firm's board.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301038407&w=1200&r=LYNXNPEE841KQ,https://uk.reuters.com/article/uk-vivendi-telecomitalia-board/vivendi-says-tims-performance-since-elliott-took-over-is-disastrous-idUKKCN1LL2GY,-3.0
469,"{'name': 'Reuters', 'id': 'reuters'}",Kathy Finn,Gordon weakens after storm kills child in Florida,2018-09-05 20:57:34,"Tropical Storm Gordon weakened into a depression on Wednesday after making landfall on Tuesday night near the Alabama-Mississippi border and killing a child when a tree fell on a mobile home in Florida, the National Hurricane Center said.",https://s4.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301080473&w=1200&r=LYNXNPEE841TT,https://uk.reuters.com/article/us-storm-gordon/storm-gordon-hits-near-alabama-mississippi-border-seen-weakening-idUKKCN1LL0W6,-5.0
470,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Germany's Commerzbank gets the boot from the DAX index,2018-09-05 20:57:12,"Commerzbank, still partially owned by the German government after a bailout, will be expelled from the blue-chip DAX index to make room for a rising technology star, underscoring the declining fortunes of the nation's top banks.",https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301101321&w=1200&r=LYNXNPEE841YC,https://uk.reuters.com/article/uk-germany-banks-commerzbank/germanys-commerzbank-gets-the-boot-from-the-dax-index-idUKKCN1LL2YQ,-2.0
471,"{'name': 'Reuters', 'id': 'reuters'}",Patricia Zengerle,U.S. Justice Department looks into social media firms over free speech,2018-09-05 20:56:52,"The U.S. Department of Justice and state attorneys general will meet this month to discuss concerns that social media platforms are ""intentionally stifling the free exchange of ideas,"" the department said on Wednesday.",https://s2.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301070937&w=1200&r=LYNXNPEE841SD,https://uk.reuters.com/article/uk-usa-tech-congress/facebook-twitter-face-u-s-congress-over-foreign-bids-to-tilt-politics-idUKKCN1LL17L,3.0
472,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,UPDATE 1-Germany's Commerzbank gets the boot from the DAX index,2018-09-05 20:56:04,* Payments company Wirecard to take its place,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/germany-banks-commerzbank/update-1-germanys-commerzbank-gets-the-boot-from-the-dax-index-idUSL5N1VR6GG,0.0
473,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,CBS and National Amusements in talks to settle litigation- source,2018-09-05 20:55:13,"CBS Corp is in settlement talks with Shari Redstone and her family's holding company National Amusements Inc over a litigation for the control of the broadcaster, a source familiar with the matter told Reuters.",https://s3.reutersmedia.net/resources/r/?m=02&d=20180905&t=2&i=1301109525&w=1200&r=LYNXNPEE841ZN,https://www.reuters.com/article/us-cbs-nationalamusements-litigation/cbs-and-national-amusements-in-talks-to-settle-litigation-source-idUSKCN1LL30Z,4.0
474,"{'name': 'Reuters', 'id': 'reuters'}",Lisa Rapaport,Soldiers who attempt suicide often have no history of mental health issues,2018-09-05 20:55:11,"(Reuters Health) - More than one-third of U.S. Army soldiers who attempt suicide don't have a history of mental health problems, a recent study suggests.",https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/us-health-military-suicide/soldiers-who-attempt-suicide-often-have-no-history-of-mental-health-issues-idUSKCN1LL30V,-4.0
475,"{'name': 'Reuters', 'id': 'reuters'}",Reuters Editorial,Phillips hits game-winning HR in Red Sox debut,2018-09-05 20:54:08,,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,https://www.reuters.com/article/baseball-mlb-atl-bos-recap/phillips-hits-game-winning-hr-in-red-sox-debut-idUSMTZEE95LN6P9B,0.0
